idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
72,0.0,2.3,23,240.0,0.7640030903408069,0.00021055727637624236,0.00016384606361389154,6.342840194702149e-05,5.78813552856456e-06,
74,5.0,2.4,24,245.0,0.662977617260154,0.00020296806455776897,0.00016400694847106933,6.353460311889648e-05,-1.5212535858154198e-05,
75,10.0,2.4,24,250.0,0.7640030903408069,0.00021055727637624236,0.0001638555526733399,6.34396171569824e-05,-5.794715881347629e-06,
77,5.0,2.5,25,255.0,0.662977617260154,0.00020296806455776897,0.00016403207778930662,6.35544204711914e-05,1.5229797363281155e-05,
78,0.0,2.5,25,260.0,0.7640030903408069,0.00021055727637624236,0.0001638705253601074,6.346006393432617e-05,5.8048248291016e-06,
80,5.0,2.6,26,265.0,0.662977617260154,0.00020296806455776897,0.00016405634880065913,6.357646942138672e-05,-1.5246105194091945e-05,
81,10.0,2.6,26,270.0,0.7640030903408069,0.00021055727637624236,0.0001638792991638183,6.347064971923828e-05,-5.809974670410202e-06,
83,5.0,2.7,27,275.0,0.662977617260154,0.00020296806455776897,0.00016407761573791497,6.359189987182616e-05,1.5261173248291068e-05,
84,0.0,2.7,27,280.0,0.7640030903408069,0.00021055727637624236,0.00016389131546020504,6.348541259765624e-05,5.817413330078038e-06,
86,5.0,2.8,28,285.0,0.662977617260154,0.00020296806455776897,0.00016409769058227538,6.360950469970703e-05,-1.5273666381836106e-05,
87,10.0,2.8,28,290.0,0.7640030903408069,0.00021055727637624236,0.00016389846801757814,6.349451065063475e-05,-5.820083618163956e-06,
89,5.0,2.9,29,295.0,0.662977617260154,0.00020296806455776897,0.00016411304473876946,6.362274169921875e-05,1.5285491943359394e-05,
90,0.0,2.9,29,300.0,0.7640030903408069,0.00021055727637624236,0.00016390776634216304,6.350654602050779e-05,5.827236175537159e-06,
92,5.0,3.0,30,305.0,0.662977617260154,0.00020296806455776897,0.00016412935256958003,6.363597869873047e-05,-1.529541015625013e-05,
93,10.0,3.0,30,310.0,0.7640030903408069,0.00021055727637624236,0.00016391263008117669,6.351350784301757e-05,-5.831813812255844e-06,
95,5.0,3.1,31,315.0,0.662977617260154,0.00020296806455776897,0.00016414189338684077,6.364698410034179e-05,1.5305614471435502e-05,
96,0.0,3.1,31,320.0,0.7640030903408069,0.00021055727637624236,0.00016392011642456055,6.352344512939453e-05,5.835342407226529e-06,
98,5.0,3.2,32,325.0,0.662977617260154,0.00020296806455776897,0.00016415452957153323,6.365800857543945e-05,-1.5312767028808488e-05,
99,10.0,3.2,32,330.0,0.7640030903408069,0.00021055727637624236,0.00016392459869384762,6.352979660034178e-05,-5.839157104492064e-06,
101,5.0,3.3,33,335.0,0.662977617260154,0.00020296806455776897,0.0001641647338867187,6.366680145263672e-05,1.531963348388684e-05,
102,0.0,3.3,33,340.0,0.7640030903408069,0.00021055727637624236,0.0001639307498931884,6.353673934936523e-05,5.844020843505816e-06,
104,5.0,3.4,34,345.0,0.662977617260154,0.00020296806455776897,0.00016417355537414553,6.367341995239256e-05,-1.5327358245849744e-05,
105,10.0,3.4,34,350.0,0.7640030903408069,0.00021055727637624236,0.00016393494606018063,6.354095458984373e-05,-5.844211578369049e-06,
107,5.0,3.5,35,355.0,0.662977617260154,0.00020296806455776897,0.00016418251991271967,6.368003845214843e-05,1.533174514770498e-05,
108,0.0,3.5,35,360.0,0.7640030903408069,0.00021055727637624236,0.0001639384746551513,6.3547306060791e-05,5.847072601318417e-06,
110,5.0,3.6,36,365.0,0.662977617260154,0.00020296806455776897,0.0001641899108886718,6.368665695190428e-05,-1.5337181091308648e-05,
111,10.0,3.6,36,370.0,0.7640030903408069,0.00021055727637624236,0.00016394166946411134,6.355091094970702e-05,-5.849266052246034e-06,
113,5.0,3.7,37,375.0,0.662977617260154,0.00020296806455776897,0.0001641960144042969,6.369325637817382e-05,1.53400421142578e-05,
114,0.0,3.7,37,380.0,0.7640030903408069,0.00021055727637624236,0.00016394486427307126,6.355512619018555e-05,5.851459503173869e-06,
116,5.0,3.8,38,385.0,0.662977617260154,0.00020296806455776897,0.00016420154571533208,6.36976623535156e-05,-1.534633636474602e-05,
117,10.0,3.8,38,390.0,0.7640030903408069,0.00021055727637624236,0.00016394801139831537,6.355785369873047e-05,-5.85374832153332e-06,
119,5.0,3.9,39,395.0,0.662977617260154,0.00020296806455776897,0.00016420750617980964,6.370206832885742e-05,1.5349483489990236e-05,
120,0.0,3.9,39,400.0,0.7640030903408069,0.00021055727637624236,0.0001639502525329589,6.356145858764646e-05,5.8549880981445535e-06,
122,5.0,4.0,40,405.0,0.662977617260154,0.00020296806455776897,0.00016421136856079098,6.37064743041992e-05,-1.5351867675781087e-05,
123,10.0,4.0,40,410.0,0.7640030903408069,0.00021055727637624236,0.00016395153999328616,6.356357574462891e-05,-5.856609344482471e-06,
125,5.0,4.1,41,415.0,0.662977617260154,0.00020296806455776897,0.0001642155647277832,6.370868682861326e-05,1.5355682373047056e-05,
126,0.0,4.1,41,420.0,0.7640030903408069,0.00021055727637624236,0.0001639544010162353,6.356630325317383e-05,5.8581352233887714e-06,
128,5.0,4.2,42,425.0,0.662977617260154,0.00020296806455776897,0.0001642191410064697,6.371309280395508e-05,-1.5358638763427607e-05,
129,10.0,4.2,42,430.0,0.7640030903408069,0.00021055727637624236,0.00016395554542541504,6.356840133666991e-05,-5.857181549072388e-06,
131,5.0,4.3,43,435.0,0.662977617260154,0.00020296806455776897,0.0001642222881317139,6.371530532836914e-05,1.5360164642333907e-05,
132,0.0,4.3,43,440.0,0.7640030903408069,0.00021055727637624236,0.00016395659446716304,6.357051849365233e-05,5.8592796325683885e-06,
134,5.0,4.4,44,445.0,0.662977617260154,0.00020296806455776897,0.00016422529220581049,6.371749877929686e-05,-1.536159515380859e-05,
135,10.0,4.4,44,450.0,0.7640030903408069,0.00021055727637624236,0.0001639579296112061,6.357202529907227e-05,-5.8609962463379225e-06,
