idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
59,5.0,1.9,19,195.0,0.6320708771902068,0.00020378649238369807,0.00016426782608032226,6.380788803100586e-05,2.0857810974121184e-05,
60,0.0,1.9,19,200.0,0.7480195310846378,0.00020971876863038537,0.00016420245170593265,6.393608093261717e-05,8.304500579833871e-06,
62,5.0,2.0,20,205.0,0.6320708771902068,0.00020378649238369807,0.00016431570053100576,6.384403228759764e-05,-2.0896339416503866e-05,
63,10.0,2.0,20,210.0,0.7480195310846378,0.00020971876863038537,0.00016422815322875985,6.39682388305664e-05,-8.326530456542964e-06,
65,5.0,2.1,21,215.0,0.6320708771902068,0.00020378649238369807,0.00016435604095458981,6.387844085693357e-05,2.0929145812988246e-05,
66,0.0,2.1,21,220.0,0.7396635331551645,0.00021010259735610045,0.0001637701988220215,6.334346771240233e-05,8.404731750488378e-06,
68,5.0,2.2,22,225.0,0.6320708771902068,0.00020378649238369807,0.00016430287361145018,6.376089096069335e-05,-2.0898151397705234e-05,
69,10.0,2.2,22,230.0,0.7396635331551645,0.00021010259735610045,0.0001637887954711913,6.336664199829101e-05,-8.420753479003885e-06,
71,5.0,2.3,23,235.0,0.6320708771902068,0.00020378649238369807,0.0001643081188201904,6.37843894958496e-05,2.090349197387707e-05,
72,0.0,2.3,23,240.0,0.7396635331551645,0.00021010259735610045,0.0001637578964233399,6.332609176635742e-05,8.39977264404301e-06,
74,5.0,2.4,24,245.0,0.6320708771902068,0.00020378649238369807,0.00016430625915527344,6.376605987548826e-05,-2.0904541015624853e-05,
75,10.0,2.4,24,250.0,0.7396635331551645,0.00021010259735610045,0.0001637712478637695,6.334346771240233e-05,-8.410263061523447e-06,
77,5.0,2.5,25,255.0,0.6320708771902068,0.00020378649238369807,0.00016431779861450198,6.37843894958496e-05,2.091312408447274e-05,
78,0.0,2.5,25,260.0,0.7396635331551645,0.00021010259735610045,0.00016376395225524898,6.333259582519529e-05,8.404254913330078e-06,
80,5.0,2.6,26,265.0,0.6320708771902068,0.00020378649238369807,0.00016432294845581058,6.378154754638671e-05,-2.091865539550781e-05,
81,10.0,2.6,26,270.0,0.7396635331551645,0.00021010259735610045,0.00016377296447753914,6.334491729736327e-05,-8.412933349609365e-06,
83,5.0,2.7,27,275.0,0.6320708771902068,0.00020378649238369807,0.00016433305740356445,6.379358291625975e-05,2.0924758911132794e-05,
84,0.0,2.7,27,280.0,0.7396635331551645,0.00021010259735610045,0.00016377162933349607,6.334274291992187e-05,8.411026000976598e-06,
86,5.0,2.8,28,285.0,0.6320708771902068,0.00020378649238369807,0.000164339542388916,6.379587173461912e-05,-2.093296051025378e-05,
87,10.0,2.8,28,290.0,0.7396635331551645,0.00021010259735610045,0.00016377859115600582,6.33514404296875e-05,-8.416557312011666e-06,
89,5.0,2.9,29,295.0,0.6320708771902068,0.00020378649238369807,0.000164347219467163,6.380449295043943e-05,2.0938587188720683e-05,
90,0.0,2.9,29,300.0,0.7396635331551645,0.00021010259735610045,0.00016377968788146974,6.33514404296875e-05,8.4187507629395e-06,
92,5.0,3.0,30,305.0,0.6320708771902068,0.00020378649238369807,0.00016435308456420894,6.380735397338867e-05,-2.0945358276367202e-05,
93,10.0,3.0,30,310.0,0.7396635331551645,0.00021010259735610045,0.000163785171508789,6.335794448852539e-05,-8.421134948730351e-06,
95,5.0,3.1,31,315.0,0.6320708771902068,0.00020378649238369807,0.00016435942649841307,6.381366729736327e-05,2.0948505401611204e-05,
96,0.0,3.1,31,320.0,0.7396635331551645,0.00021010259735610045,0.00016378555297851558,6.335865020751951e-05,8.421897888183502e-06,
98,5.0,3.2,32,325.0,0.6320708771902068,0.00020378649238369807,0.00016436390876770014,6.381650924682617e-05,-2.095270156860364e-05,
99,10.0,3.2,32,330.0,0.7396635331551645,0.00021010259735610045,0.00016378955841064445,6.336299896240232e-05,-8.425712585449253e-06,
101,5.0,3.3,33,335.0,0.6320708771902068,0.00020378649238369807,0.00016436910629272455,6.382110595703125e-05,2.095813751220709e-05,
102,0.0,3.3,33,340.0,0.7396635331551645,0.00021010259735610045,0.00016378993988037103,6.336446762084959e-05,8.426475524902404e-06,
104,5.0,3.4,34,345.0,0.6320708771902068,0.00020378649238369807,0.000164372968673706,6.382339477539062e-05,-2.096109390258786e-05,
105,10.0,3.4,34,350.0,0.7396635331551645,0.00021010259735610045,0.00016379327774047848,6.33688163757324e-05,-8.428764343261638e-06,
107,5.0,3.5,35,355.0,0.6320708771902068,0.00020378649238369807,0.0001643760204315186,6.382568359374999e-05,2.0962810516357393e-05,
108,0.0,3.5,35,360.0,0.7396635331551645,0.00021010259735610045,0.00016379327774047848,6.33688163757324e-05,8.428764343261638e-06,
110,5.0,3.6,36,365.0,0.6320708771902068,0.00020378649238369807,0.00016437993049621586,6.382797241210936e-05,-2.0965671539306544e-05,
111,10.0,3.6,36,370.0,0.7396635331551645,0.00021010259735610045,0.0001637965202331542,6.337169647216797e-05,-8.431053161621089e-06,
113,5.0,3.7,37,375.0,0.6320708771902068,0.00020378649238369807,0.00016438121795654302,6.383028030395506e-05,2.0968246459960845e-05,
114,0.0,3.7,37,380.0,0.7396635331551645,0.00021010259735610045,0.0001637965202331542,6.337316513061521e-05,8.431053161621089e-06,
116,5.0,3.8,38,385.0,0.6320708771902068,0.00020378649238369807,0.00016438436508178702,6.383256912231446e-05,-2.0969772338867146e-05,
117,10.0,3.8,38,390.0,0.7396635331551645,0.00021010259735610045,0.0001637985229492187,6.337533950805663e-05,-8.431625366211006e-06,
119,5.0,3.9,39,395.0,0.6320708771902068,0.00020378649238369807,0.00016438570022583008,6.383487701416016e-05,2.097244262695328e-05,
120,0.0,3.9,39,400.0,0.7396635331551645,0.00021010259735610045,0.00016379890441894527,6.337533950805663e-05,8.432388305664156e-06,
