idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
147,10.0,4.8,48,490.0,1.0,0.0002,0.00017655825614929193,9.059732437133788e-05,-6.899738311767507e-06,
149,5.0,4.9,49,495.0,1.0,0.0002,0.00018860239982604972,0.00010027838706970214,1.6077709197998046e-05,
150,0.0,4.9,49,500.0,1.0,0.0002,0.00017655987739562985,9.060035705566407e-05,6.899738311767507e-06,
152,5.0,5.0,50,505.0,1.0,0.0002,0.0001886048316955566,0.0001002820587158203,-1.6079330444335963e-05,
153,10.0,5.0,50,510.0,1.0,0.0002,0.00017656073570251462,9.060035705566407e-05,-6.901454925537041e-06,
155,5.0,5.1,51,515.0,1.0,0.0002,0.00018860616683959955,0.0001002857208251953,1.6080093383789114e-05,
156,0.0,5.1,51,520.0,1.0,0.0002,0.00017656202316284177,9.060338973999023e-05,6.902313232421808e-06,
158,5.0,5.2,52,525.0,1.0,0.0002,0.00018860726356506347,0.00010028918266296387,-1.6081142425537114e-05,
159,10.0,5.2,52,530.0,1.0,0.0002,0.00017656240463256834,9.060643196105955e-05,-6.901550292968657e-06,
161,5.0,5.3,53,535.0,1.0,0.0002,0.0001886089324951172,0.00010028939247131347,1.608123779296873e-05,
162,0.0,5.3,53,540.0,1.0,0.0002,0.0001765632629394531,9.060643196105955e-05,6.903266906738191e-06,
164,5.0,5.4,54,545.0,1.0,0.0002,0.00018860979080200196,0.00010029305458068846,-1.6082954406738265e-05,
165,10.0,5.4,54,550.0,1.0,0.0002,0.0001765636920928955,9.060946464538574e-05,-6.902408599853424e-06,
167,5.0,5.5,55,555.0,1.0,0.0002,0.00018861060142517092,0.00010029305458068846,1.6084575653076182e-05,
168,0.0,5.5,55,560.0,1.0,0.0002,0.0001765641689300537,9.060946464538574e-05,6.903362274169808e-06,
170,5.0,5.6,56,565.0,1.0,0.0002,0.00018861222267150884,0.00010029672622680663,-1.6084766387939415e-05,
171,10.0,5.6,56,570.0,1.0,0.0002,0.00017656450271606445,9.06124973297119e-05,-6.904029846191342e-06,
173,5.0,5.7,57,575.0,1.0,0.0002,0.00018861222267150884,0.00010029672622680663,1.6084766387939415e-05,
174,0.0,5.7,57,580.0,1.0,0.0002,0.00017656488418579103,9.06124973297119e-05,6.903266906738191e-06,
176,5.0,5.8,58,585.0,1.0,0.0002,0.0001886130809783936,0.00010030035018920898,-1.608648300170895e-05,
177,10.0,5.8,58,590.0,1.0,0.0002,0.00017656540870666503,9.06128692626953e-05,-6.904315948486192e-06,
179,5.0,5.9,59,595.0,1.0,0.0002,0.00018861341476440426,0.00010030035018920898,1.6085815429687633e-05,
180,0.0,5.9,59,600.0,1.0,0.0002,0.0001765657424926758,9.061553001403808e-05,6.904983520507725e-06,
182,5.0,6.0,60,605.0,1.0,0.0002,0.00018861470222473141,0.00010030035018920898,-1.6086483001709166e-05,
183,10.0,6.0,60,610.0,1.0,0.0002,0.00017656617164611818,9.061553001403808e-05,-6.904125213622958e-06,
185,5.0,6.1,61,615.0,1.0,0.0002,0.00018861470222473141,0.00010030379295349119,1.6086483001709166e-05,
186,0.0,6.1,61,620.0,1.0,0.0002,0.00017656617164611818,9.061553001403808e-05,6.904125213622958e-06,
188,5.0,6.2,62,625.0,1.0,0.0002,0.00018861551284790037,0.00010030401229858398,-1.6088104248047084e-05,
189,10.0,6.2,62,630.0,1.0,0.0002,0.00017656669616699218,9.061591148376463e-05,-6.905174255370959e-06,
191,5.0,6.3,63,635.0,1.0,0.0002,0.00018861556053161618,0.00010030401229858398,1.60881996154787e-05,
192,0.0,6.3,63,640.0,1.0,0.0002,0.00017656669616699218,9.061857223510741e-05,6.905174255370959e-06,
194,5.0,6.4,64,645.0,1.0,0.0002,0.00018861584663391114,0.00010030401229858398,-1.6087627410888783e-05,
195,10.0,6.4,64,650.0,1.0,0.0002,0.00017656702995300295,9.061857223510741e-05,-6.9058418273924924e-06,
197,5.0,6.5,65,655.0,1.0,0.0002,0.00018861584663391114,0.00010030401229858398,1.6087627410888783e-05,
198,0.0,6.5,65,660.0,1.0,0.0002,0.00017656702995300295,9.061857223510741e-05,6.9058418273924924e-06,
200,5.0,6.6,66,665.0,1.0,0.0002,0.0001886166572570801,0.00010030745506286621,-1.60892486572267e-05,
201,10.0,6.6,66,670.0,1.0,0.0002,0.00017656702995300295,9.061857223510741e-05,-6.9058418273924924e-06,
203,5.0,6.7,67,675.0,1.0,0.0002,0.0001886171817779541,0.00010030768394470214,1.60881996154787e-05,
204,0.0,6.7,67,680.0,1.0,0.0002,0.00017656702995300295,9.061857223510741e-05,6.9058418273924924e-06,
206,5.0,6.8,68,685.0,1.0,0.0002,0.0001886172294616699,0.00010030768394470214,-1.6088294982910317e-05,
207,10.0,6.8,68,690.0,1.0,0.0002,0.00017656741142272952,9.061857223510741e-05,-6.905078887939342e-06,
209,5.0,6.9,69,695.0,1.0,0.0002,0.0001886172294616699,0.00010030768394470214,1.6088294982910317e-05,
210,0.0,6.9,69,700.0,1.0,0.0002,0.00017656793594360352,9.061857223510741e-05,6.9061279296873425e-06,
212,5.0,7.0,70,705.0,1.0,0.0002,0.0001886172294616699,0.00010030768394470214,-1.6088294982910317e-05,
213,10.0,7.0,70,710.0,1.0,0.0002,0.00017656793594360352,9.061894416809082e-05,-6.9061279296873425e-06,
215,5.0,7.1,71,715.0,1.0,0.0002,0.00018861799240112295,0.00010030768394470214,1.60898208618164e-05,
216,0.0,7.1,71,720.0,1.0,0.0002,0.00017656793594360352,9.061894416809082e-05,6.9061279296873425e-06,
218,5.0,7.2,72,725.0,1.0,0.0002,0.00018861799240112295,0.00010030768394470214,-1.60898208618164e-05,
219,10.0,7.2,72,730.0,1.0,0.0002,0.00017656793594360352,9.06216049194336e-05,-6.9061279296873425e-06,
221,5.0,7.3,73,735.0,1.0,0.0002,0.00018861799240112295,0.00010030768394470214,1.60898208618164e-05,
222,0.0,7.3,73,740.0,1.0,0.0002,0.00017656793594360352,9.06216049194336e-05,6.9061279296873425e-06,
224,5.0,7.4,74,745.0,1.0,0.0002,0.00018861799240112295,0.00010030768394470214,-1.60898208618164e-05,
225,10.0,7.4,74,750.0,1.0,0.0002,0.00017656793594360352,9.06216049194336e-05,-6.9061279296873425e-06,
227,5.0,7.5,75,755.0,1.0,0.0002,0.00018861799240112295,0.00010030768394470214,1.60898208618164e-05,
228,0.0,7.5,75,760.0,1.0,0.0002,0.00017656793594360352,9.06216049194336e-05,6.9061279296873425e-06,
230,5.0,7.6,76,765.0,1.0,0.0002,0.00018861799240112295,0.00010030768394470214,-1.60898208618164e-05,
231,10.0,7.6,76,770.0,1.0,0.0002,0.00017656793594360352,9.06216049194336e-05,-6.9061279296873425e-06,
233,5.0,7.7,77,775.0,1.0,0.0002,0.00018861837387084963,0.00010030768394470214,1.6089439392089934e-05,
234,0.0,7.7,77,780.0,1.0,0.0002,0.00017656793594360352,9.06216049194336e-05,6.9061279296873425e-06,
236,5.0,7.8,78,785.0,1.0,0.0002,0.00018861837387084963,0.00010031111717224121,-1.6089439392089934e-05,
237,10.0,7.8,78,790.0,1.0,0.0002,0.0001765682697296143,9.06216049194336e-05,-6.906795501708876e-06,
239,5.0,7.9,79,795.0,1.0,0.0002,0.00018861837387084963,0.00010031111717224121,1.6089439392089934e-05,
240,0.0,7.9,79,800.0,1.0,0.0002,0.0001765682697296143,9.06216049194336e-05,6.906795501708876e-06,
242,5.0,8.0,80,805.0,1.0,0.0002,0.00018861837387084963,0.00010031111717224121,-1.6089439392089934e-05,
243,10.0,8.0,80,810.0,1.0,0.0002,0.0001765682697296143,9.06216049194336e-05,-6.906795501708876e-06,
245,5.0,8.1,81,815.0,1.0,0.0002,0.00018861837387084963,0.00010031111717224121,1.6089439392089934e-05,
246,0.0,8.1,81,820.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,6.905937194824109e-06,
248,5.0,8.2,82,825.0,1.0,0.0002,0.00018861837387084963,0.00010031111717224121,-1.6089439392089934e-05,
249,10.0,8.2,82,830.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,-6.905937194824109e-06,
251,5.0,8.3,83,835.0,1.0,0.0002,0.00018861837387084963,0.00010031111717224121,1.6089439392089934e-05,
252,0.0,8.3,83,840.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,6.905937194824109e-06,
254,5.0,8.4,84,845.0,1.0,0.0002,0.00018861837387084963,0.00010031111717224121,-1.6089439392089934e-05,
255,10.0,8.4,84,850.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,-6.905937194824109e-06,
257,5.0,8.5,85,855.0,1.0,0.0002,0.00018861837387084963,0.00010031111717224121,1.6089439392089934e-05,
258,0.0,8.5,85,860.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,6.905937194824109e-06,
260,5.0,8.6,86,865.0,1.0,0.0002,0.00018861837387084963,0.00010031134605407714,-1.6089439392089934e-05,
261,10.0,8.6,86,870.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,-6.905937194824109e-06,
263,5.0,8.7,87,875.0,1.0,0.0002,0.00018861837387084963,0.00010031134605407714,1.6089439392089934e-05,
264,0.0,8.7,87,880.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,6.905937194824109e-06,
266,5.0,8.8,88,885.0,1.0,0.0002,0.00018861837387084963,0.00010031134605407714,-1.6089439392089934e-05,
267,10.0,8.8,88,890.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,-6.905937194824109e-06,
269,5.0,8.9,89,895.0,1.0,0.0002,0.00018861837387084963,0.00010031134605407714,1.6089439392089934e-05,
270,0.0,8.9,89,900.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,6.905937194824109e-06,
272,5.0,9.0,90,905.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,-1.6090965270996018e-05,
273,10.0,9.0,90,910.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,-6.905937194824109e-06,
275,5.0,9.1,91,915.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,1.6090965270996018e-05,
