idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
41,5.0,1.3,13,135.0,1.0,0.0002,0.00019112114906311031,0.00010836586952209473,2.220296859741194e-05,
42,0.0,1.3,13,140.0,1.0,0.0002,0.00017847552299499506,9.238036155700683e-05,9.39512252807616e-06,
44,5.0,1.4,14,145.0,1.0,0.0002,0.00019162173271179196,0.00010898149490356444,-2.2985744476318373e-05,
45,10.0,1.4,14,150.0,1.0,0.0002,0.00017860045433044436,9.272360801696776e-05,-9.501934051513736e-06,
47,5.0,1.5,15,155.0,1.0,0.0002,0.00019203886985778807,0.00010948410987854002,2.3638629913330135e-05,
48,0.0,1.5,15,160.0,1.0,0.0002,0.00017869572639465329,9.301240921020507e-05,9.580135345458934e-06,
50,5.0,1.6,16,165.0,1.0,0.0002,0.0001923856735229492,0.00010991557121276855,-2.4183273315429854e-05,
51,10.0,1.6,16,170.0,1.0,0.0002,0.00017878055572509758,9.324533462524415e-05,-9.65232849121098e-06,
53,5.0,1.7,17,175.0,1.0,0.0002,0.00019267387390136715,0.00011026395797729491,2.463512420654312e-05,
54,0.0,1.7,17,180.0,1.0,0.0002,0.00017884631156921387,9.344773292541502e-05,9.707355499267468e-06,
56,5.0,1.8,18,185.0,1.0,0.0002,0.00019291658401489255,0.00011056736946105957,-2.501583099365234e-05,
57,10.0,1.8,18,190.0,1.0,0.0002,0.00017890477180480954,9.361451148986815e-05,-9.757709503173872e-06,
59,5.0,1.9,19,195.0,1.0,0.0002,0.00019311933517456058,0.00011081559181213378,2.53355026245117e-05,
60,0.0,1.9,19,200.0,1.0,0.0002,0.0001789514064788818,9.375802040100098e-05,9.795665740966854e-06,
62,5.0,2.0,20,205.0,1.0,0.0002,0.0001932911872863769,0.0001110283851623535,-2.560577392578126e-05,
63,10.0,2.0,20,210.0,1.0,0.0002,0.00017899160385131832,9.387427330017088e-05,-9.830665588379068e-06,
65,5.0,2.1,21,215.0,1.0,0.0002,0.00019343476295471192,0.00011120567321777343,2.5831317901611316e-05,
66,0.0,2.1,21,220.0,1.0,0.0002,0.0001790244579315185,9.397371292114257e-05,9.858989715576163e-06,
68,5.0,2.2,22,225.0,1.0,0.0002,0.0001935555458068847,0.0001113580322265625,-2.6020622253417926e-05,
69,10.0,2.2,22,230.0,1.0,0.0002,0.00017905335426330563,9.405650138854979e-05,-9.882640838622956e-06,
71,5.0,2.3,23,235.0,1.0,0.0002,0.00019365863800048825,0.00011148148536682128,2.6183891296386675e-05,
72,0.0,2.3,23,240.0,1.0,0.0002,0.00017907652854919434,9.412765502929686e-05,9.90304946899413e-06,
74,5.0,2.4,24,245.0,1.0,0.0002,0.00019374508857727046,0.00011159463882446288,-2.6319980621337946e-05,
75,10.0,2.4,24,250.0,1.0,0.0002,0.0001790969371795654,9.418537139892577e-05,-9.921169281005855e-06,
77,5.0,2.5,25,255.0,1.0,0.0002,0.00019381999969482423,0.00011168210983276367,2.643756866455081e-05,
78,0.0,2.5,25,260.0,1.0,0.0002,0.0001791138172149658,9.423668861389159e-05,9.93375778198251e-06,
80,5.0,2.6,26,265.0,1.0,0.0002,0.00019388289451599116,0.00011176441192626953,-2.6537227630615183e-05,
81,10.0,2.6,26,270.0,1.0,0.0002,0.00017912836074829102,9.427838325500487e-05,-9.946632385253798e-06,
83,5.0,2.7,27,275.0,1.0,0.0002,0.00019393534660339345,0.0001118261432647705,2.66190528869629e-05,
84,0.0,2.7,27,280.0,1.0,0.0002,0.000179141092300415,9.431642532348633e-05,9.957408905029302e-06,
86,5.0,2.8,28,285.0,1.0,0.0002,0.00019398102760314945,0.0001118846607208252,-2.669248580932618e-05,
87,10.0,2.8,28,290.0,1.0,0.0002,0.00017915129661560058,9.434572219848631e-05,-9.966564178466673e-06,
89,5.0,2.9,29,295.0,1.0,0.0002,0.00019402079582214358,0.00011193100929260253,2.6756381988525405e-05,
90,0.0,2.9,29,300.0,1.0,0.0002,0.0001791602134704589,9.437140464782715e-05,9.97467041015626e-06,
92,5.0,3.0,30,305.0,1.0,0.0002,0.000194053316116333,0.00011197529792785643,-2.6805782318115208e-05,
93,10.0,3.0,30,310.0,1.0,0.0002,0.000179167366027832,9.439383506774902e-05,-9.980773925781245e-06,
95,5.0,3.1,31,315.0,1.0,0.0002,0.0001940816402435303,0.00011200823783874512,2.6851940155029393e-05,
96,0.0,3.1,31,320.0,1.0,0.0002,0.00017917418479919433,9.441271781921386e-05,9.98640060424793e-06,
98,5.0,3.2,32,325.0,1.0,0.0002,0.00019410753250122064,0.00011203701972961426,-2.6891326904296842e-05,
99,10.0,3.2,32,330.0,1.0,0.0002,0.00017917938232421874,9.442874908447264e-05,-9.991836547851383e-06,
101,5.0,3.3,33,335.0,1.0,0.0002,0.0001941278934478759,0.00011206276893615722,2.6924610137939523e-05,
102,0.0,3.3,33,340.0,1.0,0.0002,0.00017918443679809562,9.444194793701172e-05,9.995460510253901e-06,
