idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
87,8.383419,2.8,28,243.11916000000002,0.7240519128516381,0.00020799267833547253,0.0001639528274536132,6.359329223632813e-05,-9.191131591796894e-06,
89,3.3256840000000008,2.9,29,248.11916000000002,0.6865423636936051,0.00020131509456775755,0.00016389074325561534,6.344110488891601e-05,1.4064598083496187e-05,
90,1.674316,2.9,29,249.770528,0.7240519128516381,0.00020799267833547253,0.0001640695571899413,6.37220764160156e-05,9.341430664062522e-06,
92,6.732051000000001,3.0,30,254.770528,0.6865423636936051,0.00020131509456775755,0.00016395044326782235,6.349214553833007e-05,-1.4183998107910201e-05,
93,8.267949,3.0,30,256.306426,0.7240519128516381,0.00020799267833547253,0.00016418542861938463,6.385028839111327e-05,-9.490776062011548e-06,
95,3.2102140000000006,3.1,31,261.306426,0.6865423636936051,0.00020131509456775755,0.0001640133857727052,6.354318618774412e-05,1.4309120178222952e-05,
96,1.789786,3.1,31,262.726854,0.715340564017038,0.00020830002959393976,0.00016375818252563476,6.33437919616699e-05,9.730339050293378e-06,
98,6.847521,3.2,32,267.726854,0.6865423636936051,0.00020131509456775755,0.00016407556533813467,6.359634399414062e-05,-1.4436531066894503e-05,
99,8.152479,3.2,32,269.031812,0.715340564017038,0.00020830002959393976,0.0001638833045959473,6.34799003601074e-05,-9.89322662353501e-06,
101,3.0947440000000004,3.3,33,274.031812,0.6865423636936051,0.00020131509456775755,0.00016410427093505866,6.364738464355467e-05,1.4542388916015912e-05,
102,1.905256,3.3,33,275.2213,0.715340564017038,0.00020830002959393976,0.00016397123336791978,6.356006622314453e-05,1.0032081604004033e-05,
104,6.962991,3.4,34,280.2213,0.6865423636936051,0.00020131509456775755,0.0001641600608825683,6.370056152343748e-05,-1.4667320251464996e-05,
105,8.037009,3.4,34,281.295318,0.715340564017038,0.00020830002959393976,0.0001641009330749512,6.36515998840332e-05,-1.0204505920409935e-05,
107,2.979274,3.5,35,286.295318,0.6865423636936051,0.00020131509456775755,0.00016419124603271476,6.374999999999998e-05,1.477813720703134e-05,
108,2.020726,3.5,35,287.253866,0.715340564017038,0.00020830002959393976,0.00016421537399292007,6.35483932495117e-05,1.0367393493652434e-05,
110,7.078461,3.6,36,292.253866,0.6865423636936051,0.00020131509456775755,0.00016422452926635723,6.380313873291014e-05,-1.4889717102050618e-05,
111,7.921539,3.6,36,293.096944,0.715340564017038,0.00020830002959393976,0.00016434841156005853,6.345701217651365e-05,-1.0547256469726173e-05,
113,2.863804,3.7,37,298.096944,0.6865423636936051,0.00020131509456775755,0.0001642191886901854,6.385204315185545e-05,1.4978218078613454e-05,
114,2.136196,3.7,37,298.824552,0.715340564017038,0.00020830002959393976,0.0001644731521606446,6.363426208496093e-05,1.0723876953124944e-05,
116,7.193931,3.8,38,303.824552,0.6865423636936051,0.00020131509456775755,0.0001641723632812499,6.390092849731444e-05,-1.5040969848632846e-05,
117,7.806069,3.8,38,304.43669,0.715340564017038,0.00020830002959393976,0.00016460695266723641,6.352592468261716e-05,-1.0909843444823885e-05,
119,2.748334,3.9,39,309.43669,0.6865423636936051,0.00020131509456775755,0.00016401844024658196,6.394771575927733e-05,1.5030288696289175e-05,
120,2.251666,3.9,39,309.933358,0.715340564017038,0.00020830002959393976,0.00016473207473754873,6.344110488891601e-05,1.109523773193356e-05,
122,7.309400999999999,4.0,40,314.933358,0.6803716402588711,0.00020255026175429095,0.0001638422966003417,6.334695816040037e-05,-1.4975166320800853e-05,
123,7.690599,4.0,40,315.314556,0.715340564017038,0.00020830002959393976,0.00016484775543212883,6.291254043579102e-05,-1.1285781860351403e-05,
125,2.6328639999999996,4.1,41,320.314556,0.6803716402588711,0.00020255026175429095,0.00016308403015136727,6.330965042114256e-05,1.4579010009765827e-05,
126,2.367136,4.1,41,320.580284,0.715340564017038,0.00020830002959393976,0.00016468944549560545,6.297931671142578e-05,1.1470031738281244e-05,
128,7.4248709999999996,4.2,42,325.580284,0.688259197885186,0.00020566249047624795,0.00016415252685546885,6.33383560180664e-05,-1.3728332519531185e-05,
129,7.575129,4.2,42,325.730542,0.715340564017038,0.00020830002959393976,0.00016416492462158205,6.313119888305663e-05,-1.1706542968750039e-05,
131,2.5173940000000004,4.3,43,330.730542,0.688259197885186,0.00020566249047624795,0.0001623112678527832,6.339639663696287e-05,1.2626075744628842e-05,
132,2.482606,4.3,43,330.76533,0.715340564017038,0.00020830002959393976,0.00016254024505615232,6.334051132202148e-05,1.2050247192382877e-05,
134,7.459659,4.4,44,335.684648,0.694349710435783,0.00020944156794033172,0.00016413869857788074,6.334770202636719e-05,-1.2269401550292665e-05,
136,2.598076,4.5,45,340.488496,0.694349710435783,0.00020944156794033172,0.0001643024444580078,6.359483718872068e-05,1.2482833862304584e-05,
138,7.344189,4.6,46,345.176874,0.694349710435783,0.00020944156794033172,0.00016448001861572273,6.382759094238281e-05,-1.2728118896484283e-05,
140,2.713546,4.7,47,349.749782,0.6844430430845273,0.0002092338453925326,0.00016371536254882824,6.338279724121094e-05,1.3106155395507801e-05,
142,7.228719,4.8,48,354.20722,0.6844430430845273,0.0002092338453925326,0.00016381864547729491,6.347949981689452e-05,-1.3328742980957091e-05,
144,2.829016,4.9,49,358.549188,0.6844430430845273,0.0002092338453925326,0.00016394386291503906,6.362129211425781e-05,1.3552856445312247e-05,
146,7.113249,5.0,50,362.775686,0.6844430430845273,0.0002092338453925326,0.00016409654617309576,6.379467010498045e-05,-1.3809013366699284e-05,
148,2.944486,5.1,51,366.886714,0.6763929238522871,0.00020962851611444164,0.00016376276016235344,6.33428955078125e-05,1.419048309326187e-05,
150,6.997779,5.2,52,370.882272,0.6763929238522871,0.00020962851611444164,0.00016386880874633787,6.343557357788086e-05,-1.4433097839355001e-05,
152,3.059956,5.3,53,374.76236,0.6763929238522871,0.00020962851611444164,0.00016400089263916015,6.357963562011719e-05,1.4683532714844169e-05,
154,6.882309,5.4,54,378.526978,0.6763929238522871,0.00020962851611444164,0.00016416215896606452,6.375715255737304e-05,-1.496639251708995e-05,
156,3.175426,5.5,55,382.176126,0.6763929238522871,0.00020962851611444164,0.0001643348693847657,6.395153045654295e-05,1.5262985229492435e-05,
158,6.766838,5.6,56,385.709802,0.6659692030609796,0.0002098445898896645,0.0001637234687805174,6.337656021118164e-05,-1.5753364562988165e-05,
160,3.290897,5.7,57,389.128008,0.6659692030609796,0.0002098445898896645,0.00016382360458374007,6.344814300537107e-05,1.6025352478027475e-05,
162,6.651368,5.8,58,392.430744,0.6659692030609796,0.0002098445898896645,0.0001639594078063965,6.359249114990233e-05,-1.631412506103479e-05,
164,3.406367,5.9,59,395.61801,0.6659692030609796,0.0002098445898896645,0.0001641337394714356,6.378126144409178e-05,1.6640663146972722e-05,
166,6.535898,6.0,60,398.68980600000003,0.6580727352423057,0.00021010359672386575,0.000163756275177002,6.337625503540038e-05,-1.713504791259722e-05,
168,3.521837,6.1,61,401.646132,0.6580727352423057,0.00021010359672386575,0.00016388368606567397,6.34830856323242e-05,1.7457008361816684e-05,
170,6.420428,6.2,62,404.486988,0.6580727352423057,0.00021010359672386575,0.0001640503883361818,6.36603546142578e-05,-1.7799568176269254e-05,
172,3.637307,6.3,63,407.212374,0.6580727352423057,0.00021010359672386575,0.00016424970626831054,6.387561798095701e-05,1.818485260009781e-05,
174,6.304958,6.4,64,409.82229,0.6484829723037306,0.000210347392371294,0.0001637326240539552,6.337293624877929e-05,-1.8790626525878786e-05,
