idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
65,3.7875639999999997,2.1,21,190.751296,0.6434573187380139,0.0002017252637213712,0.00016453676223754875,6.381048202514647e-05,2.3799705505371267e-05,
66,1.212436,2.1,21,193.326424,0.6922565299720235,0.0002061371813944834,0.00016431045532226576,6.384401321411133e-05,1.600341796875e-05,
68,6.270171000000001,2.2,22,198.326424,0.6434573187380139,0.0002017252637213712,0.00016463146209716797,6.387819290161131e-05,-2.4066925048828007e-05,
69,8.729829,2.2,22,200.786082,0.6830787211735346,0.00020615426838276044,0.0001637317657470702,6.33427047729492e-05,-1.6479492187499757e-05,
71,3.6720939999999986,2.3,23,205.786082,0.6434573187380139,0.0002017252637213712,0.00016476669311523448,6.395206451416014e-05,2.4378204345703366e-05,
72,1.327906,2.3,23,208.13027,0.6830787211735346,0.00020615426838276044,0.00016396579742431654,6.354175567626952e-05,1.685752868652371e-05,
74,6.385641,2.4,24,213.13027,0.6333156495879472,0.0002012062787166088,0.00016367998123168934,6.333864212036133e-05,-2.493152618408172e-05,
75,8.614359,2.4,24,215.358988,0.6830787211735346,0.00020615426838276044,0.00016408767700195324,6.363382339477538e-05,-1.7143630981445324e-05,
77,3.5566239999999993,2.5,25,220.358988,0.6333156495879472,0.0002012062787166088,0.00016365785598754885,6.324104309082031e-05,2.5153923034667777e-05,
78,1.443376,2.5,25,222.472236,0.6830787211735346,0.00020615426838276044,0.00016424055099487317,6.371219635009764e-05,1.7497062683105667e-05,
80,6.501110999999999,2.6,26,227.472236,0.6333156495879472,0.0002012062787166088,0.00016369600296020506,6.320926666259765e-05,-2.539539337158194e-05,
81,8.498889,2.6,26,229.47001400000002,0.6830787211735346,0.00020615426838276044,0.00016442365646362296,6.386177062988281e-05,-1.7849159240722508e-05,
83,3.441153999999999,2.7,27,234.47001400000002,0.6333156495879472,0.0002012062787166088,0.00016376476287841804,6.322288513183592e-05,2.5673675537109687e-05,
84,1.558846,2.7,27,236.35232200000002,0.6732759467356368,0.0002059902509385562,0.0001637136459350585,6.334064483642577e-05,1.8424987792968906e-05,
86,6.616581,2.8,28,241.35232200000002,0.6333156495879472,0.0002012062787166088,0.00016385335922241206,6.324638366699218e-05,-2.5972557067870973e-05,
87,8.383419,2.8,28,243.11916000000002,0.6732759467356368,0.0002059902509385562,0.00016392955780029288,6.351640701293944e-05,-1.88278198242184e-05,
89,3.3256840000000008,2.9,29,248.11916000000002,0.6333156495879472,0.0002012062787166088,0.00016389703750610356,6.32826805114746e-05,2.623462677001998e-05,
90,1.674316,2.9,29,249.770528,0.6732759467356368,0.0002059902509385562,0.0001640607833862304,6.360734939575194e-05,1.9160461425781535e-05,
92,6.732051000000001,3.0,30,254.770528,0.6333156495879472,0.0002012062787166088,0.00016400604248046876,6.332199096679687e-05,-2.6564788818359344e-05,
93,8.267949,3.0,30,256.306426,0.6732759467356368,0.0002059902509385562,0.00016429538726806642,6.37942314147949e-05,-1.9600677490234312e-05,
95,3.2102140000000006,3.1,31,261.306426,0.6333156495879472,0.0002012062787166088,0.0001640905380249024,6.336734771728516e-05,2.6879501342773338e-05,
96,1.789786,3.1,31,262.726854,0.6732759467356368,0.0002059902509385562,0.00016450014114379884,6.395195007324219e-05,2.0018196105957547e-05,
98,6.847521,3.2,32,267.726854,0.6333156495879472,0.0002012062787166088,0.00016421070098876956,6.341567993164063e-05,-2.7236175537109514e-05,
99,8.152479,3.2,32,269.031812,0.6617344472043506,0.000205835180297326,0.0001636890411376953,6.334074020385741e-05,-2.075462341308591e-05,
101,3.0947440000000004,3.3,33,274.031812,0.6333156495879472,0.0002012062787166088,0.0001643194198608399,6.346170425415039e-05,2.758941650390619e-05,
102,1.905256,3.3,33,275.2213,0.6617344472043506,0.000205835180297326,0.00016393566131591786,6.351882934570313e-05,2.123565673828147e-05,
104,6.962991,3.4,34,280.2213,0.6333156495879472,0.0002012062787166088,0.00016437587738037107,6.351156234741211e-05,-2.7896118164062213e-05,
105,8.037009,3.4,34,281.295318,0.6617344472043506,0.000205835180297326,0.00016408481597900387,6.35749053955078e-05,-2.1635818481445263e-05,
107,2.979274,3.5,35,286.295318,0.6333156495879472,0.0002012062787166088,0.00016449699401855462,6.356140136718749e-05,2.8278732299804633e-05,
108,2.020726,3.5,35,287.253866,0.6617344472043506,0.000205835180297326,0.00016435422897338866,6.360176086425779e-05,2.2162818908691775e-05,
110,7.078461,3.6,36,292.253866,0.6333156495879472,0.0002012062787166088,0.000164593505859375,6.361022949218748e-05,-2.8641128540039112e-05,
111,7.921539,3.6,36,293.096944,0.6617344472043506,0.000205835180297326,0.000164592456817627,6.343437194824219e-05,-2.2668647766113312e-05,
113,2.863804,3.7,37,298.096944,0.6333156495879472,0.0002012062787166088,0.0001647205352783205,6.366003036499022e-05,2.9045104980468875e-05,
114,2.136196,3.7,37,298.824552,0.6617344472043506,0.000205835180297326,0.0001648815155029298,6.329551696777344e-05,2.324409484863281e-05,
116,7.193931,3.8,38,303.824552,0.6333156495879472,0.0002012062787166088,0.0001648270606994628,6.37081527709961e-05,-2.9436683654785e-05,
117,7.806069,3.8,38,304.43669,0.6617344472043506,0.000205835180297326,0.00016516113281249997,6.310543060302734e-05,-2.3819351196289074e-05,
119,2.748334,3.9,39,309.43669,0.6333156495879472,0.0002012062787166088,0.00016493158340454115,6.375621795654297e-05,2.9839134216308894e-05,
120,2.251666,3.9,39,309.933358,0.6617344472043506,0.000205835180297326,0.00016546478271484383,6.304256439208984e-05,2.443809509277339e-05,
122,7.309400999999999,4.0,40,314.933358,0.6333156495879472,0.0002012062787166088,0.00016499643325805675,6.380424499511717e-05,-3.011875152587884e-05,
123,7.690599,4.0,40,315.314556,0.6517590235498179,0.00020333286461441847,0.0001636056900024413,6.320489883422851e-05,-2.5407028198242212e-05,
125,2.6328639999999996,4.1,41,320.314556,0.6333156495879472,0.0002012062787166088,0.0001649159431457521,6.385171890258787e-05,3.019886016845724e-05,
126,2.367136,4.1,41,320.580284,0.6517590235498179,0.00020333286461441847,0.00016381940841674806,6.341104507446289e-05,2.608928680419972e-05,
128,7.4248709999999996,4.2,42,325.580284,0.6333156495879472,0.0002012062787166088,0.00016435680389404296,6.389741897583007e-05,-2.9627227783202842e-05,
129,7.575129,4.2,42,325.730542,0.6517590235498179,0.00020333286461441847,0.00016345539093017588,6.363409042358398e-05,-2.680130004882814e-05,
131,2.5173940000000004,4.3,43,330.730542,0.6333156495879472,0.0002012062787166088,0.00016298322677612306,6.394083023071289e-05,2.7937126159667796e-05,
