idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
63,8.845299,2.0,20,185.751296,1.0,0.0002,0.00017990932464599608,9.114571571350097e-05,-8.943939208983995e-06,
65,3.7875639999999997,2.1,21,190.751296,1.0,0.0002,0.00018702316284179704,9.60549259185791e-05,1.4148712158203354e-05,
66,1.212436,2.1,21,193.326424,1.0,0.0002,0.00018009567260742192,9.153868675231932e-05,9.132003784179804e-06,
68,6.270171000000001,2.2,22,198.326424,1.0,0.0002,0.00018716020584106448,9.630274772644043e-05,-1.4319801330566189e-05,
69,8.729829,2.2,22,200.786082,1.0,0.0002,0.00018027334213256848,9.191947937011718e-05,-9.319496154785046e-06,
71,3.6720939999999986,2.3,23,205.786082,1.0,0.0002,0.00018728685379028331,9.653340339660645e-05,1.448574066162129e-05,
72,1.327906,2.3,23,208.13027,1.0,0.0002,0.00018044500350952145,9.229399681091307e-05,9.504508972168254e-06,
74,6.385641,2.4,24,213.13027,1.0,0.0002,0.00018740644454956056,9.675395011901855e-05,-1.4648628234863355e-05,
75,8.614359,2.4,24,215.358988,1.0,0.0002,0.00018061084747314471,9.265585899353028e-05,-9.68780517578106e-06,
77,3.5566239999999993,2.5,25,220.358988,1.0,0.0002,0.00018751955032348636,9.69607162475586e-05,1.4808464050293253e-05,
78,1.443376,2.5,25,222.472236,1.0,0.0002,0.0001807733535766601,9.30093479156494e-05,9.871292114257968e-06,
80,6.501110999999999,2.6,26,227.472236,1.0,0.0002,0.00018762617111206048,9.715564727783203e-05,-1.496753692626935e-05,
81,8.498889,2.6,26,229.47001400000002,1.0,0.0002,0.0001809301376342774,9.335304260253905e-05,-1.0056304931640309e-05,
83,3.441153999999999,2.7,27,234.47001400000002,1.0,0.0002,0.00018772964477539083,9.733816146850587e-05,1.5126800537109547e-05,
84,1.558846,2.7,27,236.35232200000002,1.0,0.0002,0.00018108587265014647,9.370179176330565e-05,1.0241127014160283e-05,
86,6.616581,2.8,28,241.35232200000002,1.0,0.0002,0.00018782644271850583,9.751033782958983e-05,-1.528263092040981e-05,
87,8.383419,2.8,28,243.11916000000002,1.0,0.0002,0.00018123855590820317,9.404624938964842e-05,-1.0427856445312158e-05,
89,3.3256840000000008,2.9,29,248.11916000000002,1.0,0.0002,0.00018791980743408199,9.767722129821777e-05,1.5435791015625238e-05,
90,1.674316,2.9,29,249.770528,1.0,0.0002,0.00018138904571533203,9.438702583312988e-05,1.06166839599609e-05,
92,6.732051000000001,3.0,30,254.770528,1.0,0.0002,0.00018800859451293945,9.78355026245117e-05,-1.5591239929199033e-05,
93,8.267949,3.0,30,256.306426,1.0,0.0002,0.00018153810501098642,9.472418785095213e-05,-1.0807991027832111e-05,
95,3.2102140000000006,3.1,31,261.306426,1.0,0.0002,0.00018809452056884777,9.798830032348632e-05,1.5745544433593862e-05,
96,1.789786,3.1,31,262.726854,1.0,0.0002,0.00018168678283691413,9.506223678588867e-05,1.1001586914062556e-05,
98,6.847521,3.2,32,267.726854,1.0,0.0002,0.00018817529678344727,9.81361675262451e-05,-1.589756011962859e-05,
99,8.152479,3.2,32,269.031812,1.0,0.0002,0.000181834125518799,9.541469573974608e-05,-1.1197471618652234e-05,
101,3.0947440000000004,3.3,33,274.031812,1.0,0.0002,0.0001882511138916014,9.828380584716797e-05,1.6049194335937718e-05,
102,1.905256,3.3,33,275.2213,1.0,0.0002,0.00018198280334472648,9.576483726501464e-05,1.1397933959961248e-05,
104,6.962991,3.4,34,280.2213,1.0,0.0002,0.0001883204460144043,9.842535018920898e-05,-1.6197013854980444e-05,
105,8.037009,3.4,34,281.295318,1.0,0.0002,0.00018213081359863287,9.611707687377929e-05,-1.1600494384765396e-05,
107,2.979274,3.5,35,286.295318,1.0,0.0002,0.00018837919235229492,9.856433868408201e-05,1.63393020629881e-05,
108,2.020726,3.5,35,287.253866,1.0,0.0002,0.0001822795867919922,9.647177696228026e-05,1.180763244628888e-05,
110,7.078461,3.6,36,292.253866,1.0,0.0002,0.0001884213447570799,9.870224952697752e-05,-1.647052764892562e-05,
111,7.921539,3.6,36,293.096944,1.0,0.0002,0.00018242912292480468,9.682572364807127e-05,-1.2020111083984198e-05,
