idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
63,8.845299,2.0,20,185.751296,1.0,0.0002,0.00018609056472778328,0.00010159265518188475,-1.8023872375488078e-05,
65,3.7875639999999997,2.1,21,190.751296,1.0,0.0002,0.00020524263381958016,0.00011644015312194824,5.0189399719238574e-05,
66,1.212436,2.1,21,193.326424,1.0,0.0002,0.0001863512992858888,0.00010236148834228515,1.8453788757324518e-05,
68,6.270171000000001,2.2,22,198.326424,1.0,0.0002,0.00020639142990112316,0.00011686221122741698,-5.253047943115218e-05,
69,8.729829,2.2,22,200.786082,1.0,0.0002,0.0001866059303283691,0.00010312012672424316,-1.8887519836425625e-05,
71,3.6720939999999986,2.3,23,205.786082,1.0,0.0002,0.00020751371383667,0.00011725735664367675,5.482578277587894e-05,
72,1.327906,2.3,23,208.13027,1.0,0.0002,0.00018685827255249038,0.00010388021469116211,1.9326591491699435e-05,
74,6.385641,2.4,24,213.13027,1.0,0.0002,0.00020862741470336916,0.00011763616561889648,-5.711956024169896e-05,
75,8.614359,2.4,24,215.358988,1.0,0.0002,0.00018710899353027353,0.00010464093208312986,-1.9773483276367115e-05,
77,3.5566239999999993,2.5,25,220.358988,1.0,0.0002,0.00020973234176635742,0.00011799009323120116,5.9403038024902644e-05,
78,1.443376,2.5,25,222.472236,1.0,0.0002,0.00018736066818237306,0.00010540735244750975,2.0230293273925965e-05,
80,6.501110999999999,2.6,26,227.472236,1.0,0.0002,0.00021084337234497067,0.00011833881378173826,-6.170978546142557e-05,
81,8.498889,2.6,26,229.47001400000002,1.0,0.0002,0.00018761272430419928,0.0001061941623687744,-2.0697402954101586e-05,
83,3.441153999999999,2.7,27,234.47001400000002,1.0,0.0002,0.00021195497512817383,0.00011867032051086424,6.40218734741212e-05,
84,1.558846,2.7,27,236.35232200000002,1.0,0.0002,0.00018788461685180654,0.00010698981285095214,2.1211051940918293e-05,
86,6.616581,2.8,28,241.35232200000002,1.0,0.0002,0.00021308193206787097,0.00011915408134460448,-6.637573242187491e-05,
87,8.383419,2.8,28,243.11916000000002,1.0,0.0002,0.00018817777633666996,0.0001077957534790039,-2.1776390075683386e-05,
89,3.3256840000000008,2.9,29,248.11916000000002,1.0,0.0002,0.0002142206192016602,0.00011977337837219238,6.875839233398424e-05,
90,1.674316,2.9,29,249.770528,1.0,0.0002,0.0001900179862976074,0.00010861843109130859,2.5440788269043193e-05,
92,6.732051000000001,3.0,30,254.770528,1.0,0.0002,0.00021540994644165048,0.00012037890434265136,-7.125034332275404e-05,
93,8.267949,3.0,30,256.306426,1.0,0.0002,0.00019353895187377928,0.00010946036338806153,-3.247470855712855e-05,
95,3.2102140000000006,3.1,31,261.306426,1.0,0.0002,0.0002166719436645509,0.00012097041130065917,7.38918304443361e-05,
96,1.789786,3.1,31,262.726854,1.0,0.0002,0.00019696617126464832,0.00011032291412353516,3.932571411132844e-05,
98,6.847521,3.2,32,267.726854,1.0,0.0002,0.00021795225143432626,0.00012155323028564452,-7.657794952392561e-05,
99,8.152479,3.2,32,269.031812,1.0,0.0002,0.00020032396316528307,0.0001112122631072998,-4.604587554931641e-05,
101,3.0947440000000004,3.3,33,274.031812,1.0,0.0002,0.00021926374435424808,0.00012213127136230468,7.933368682861352e-05,
102,1.905256,3.3,33,275.2213,1.0,0.0002,0.0002036007881164551,0.00011212527275085448,5.261058807373058e-05,
104,6.962991,3.4,34,280.2213,1.0,0.0002,0.0002206076622009276,0.0001227058982849121,-8.216037750244116e-05,
105,8.037009,3.4,34,281.295318,1.0,0.0002,0.00020680351257324208,0.00011306193351745604,-5.903358459472636e-05,
107,2.979274,3.5,35,286.295318,1.0,0.0002,0.00022197942733764658,0.0001232771301269531,8.504886627197289e-05,
108,2.020726,3.5,35,287.253866,1.0,0.0002,0.00020993757247924814,0.00011402523040771485,6.532535552978549e-05,
110,7.078461,3.6,36,292.253866,1.0,0.0002,0.00022339000701904308,0.00012384336471557615,-8.802108764648401e-05,
111,7.921539,3.6,36,293.096944,1.0,0.0002,0.00021299638748168955,0.00011501566886901854,-7.147274017333966e-05,
113,2.863804,3.7,37,298.096944,1.0,0.0002,0.00022483482360839842,0.00012440872192382812,9.107322692871117e-05,
